,Date,High
193,1981-09-18,0.319196
194,1981-09-21,0.321429
195,1981-09-22,0.303571
196,1981-09-23,0.299107
197,1981-09-24,0.294643
198,1981-09-25,0.258929
199,1981-09-28,0.258929
200,1981-09-29,0.272321
201,1981-09-30,0.274554
202,1981-10-01,0.274554
203,1981-10-02,0.296875
204,1981-10-05,0.30803600000000003
205,1981-10-06,0.303571
206,1981-10-07,0.32366100000000003
207,1981-10-08,0.33258899999999997
208,1981-10-09,0.337054
209,1981-10-12,0.345982
210,1981-10-13,0.34821399999999997
211,1981-10-14,0.325893
212,1981-10-15,0.33258899999999997
213,1981-10-16,0.328125
214,1981-10-19,0.334821
215,1981-10-20,0.352679
216,1981-10-21,0.352679
217,1981-10-22,0.350446
218,1981-10-23,0.341518
219,1981-10-26,0.341518
220,1981-10-27,0.350446
221,1981-10-28,0.359375
222,1981-10-29,0.35491100000000003
223,1981-10-30,0.359375
224,1981-11-02,0.359375
225,1981-11-03,0.35491100000000003
226,1981-11-04,0.345982
227,1981-11-05,0.321429
228,1981-11-06,0.32366100000000003
229,1981-11-09,0.328125
230,1981-11-10,0.330357
231,1981-11-11,0.33928600000000003
232,1981-11-12,0.350446
233,1981-11-13,0.325893
234,1981-11-16,0.321429
235,1981-11-17,0.328125
236,1981-11-18,0.33928600000000003
237,1981-11-19,0.33928600000000003
238,1981-11-20,0.341518
239,1981-11-23,0.328125
240,1981-11-24,0.32366100000000003
241,1981-11-25,0.330357
242,1981-11-27,0.33928600000000003
243,1981-11-30,0.334821
244,1981-12-01,0.334821
245,1981-12-02,0.337054
246,1981-12-03,0.33258899999999997
247,1981-12-04,0.341518
248,1981-12-07,0.34375
249,1981-12-08,0.33928600000000003
250,1981-12-09,0.33928600000000003
251,1981-12-10,0.33928600000000003
252,1981-12-11,0.33928600000000003
253,1981-12-14,0.328125
254,1981-12-15,0.334821
255,1981-12-16,0.350446
256,1981-12-17,0.37946399999999997
257,1981-12-18,0.410714
258,1981-12-21,0.392857
259,1981-12-22,0.399554
260,1981-12-23,0.390625
261,1981-12-24,0.392857
262,1981-12-28,0.377232
263,1981-12-29,0.383929
264,1981-12-30,0.397321
265,1981-12-31,0.397321
266,1982-01-04,0.39508899999999997
267,1982-01-05,0.377232
268,1982-01-06,0.37053600000000003
269,1982-01-07,0.34375
270,1982-01-08,0.357143
271,1982-01-11,0.334821
272,1982-01-12,0.32366100000000003
273,1982-01-13,0.321429
274,1982-01-14,0.337054
275,1982-01-15,0.361607
276,1982-01-18,0.368304
277,1982-01-19,0.359375
278,1982-01-20,0.36383899999999997
279,1982-01-21,0.37053600000000003
280,1982-01-22,0.372768
281,1982-01-25,0.361607
282,1982-01-26,0.350446
283,1982-01-27,0.352679
284,1982-01-28,0.361607
285,1982-01-29,0.366071
286,1982-02-01,0.36383899999999997
287,1982-02-02,0.366071
288,1982-02-03,0.36383899999999997
289,1982-02-04,0.35491100000000003
290,1982-02-05,0.35491100000000003
291,1982-02-08,0.33258899999999997
292,1982-02-09,0.33258899999999997
293,1982-02-10,0.337054
294,1982-02-11,0.33258899999999997
295,1982-02-12,0.337054
296,1982-02-16,0.330357
297,1982-02-17,0.334821
298,1982-02-18,0.33928600000000003
299,1982-02-19,0.337054
300,1982-02-22,0.33258899999999997
301,1982-02-23,0.328125
302,1982-02-24,0.330357
303,1982-02-25,0.328125
304,1982-02-26,0.328125
305,1982-03-01,0.330357
306,1982-03-02,0.330357
307,1982-03-03,0.330357
308,1982-03-04,0.32366100000000003
309,1982-03-05,0.299107
310,1982-03-08,0.294643
311,1982-03-09,0.296875
312,1982-03-10,0.29241100000000003
313,1982-03-11,0.294643
314,1982-03-12,0.274554
315,1982-03-15,0.272321
316,1982-03-16,0.267857
317,1982-03-17,0.25446399999999997
318,1982-03-18,0.274554
319,1982-03-19,0.299107
320,1982-03-22,0.321429
321,1982-03-23,0.31696399999999997
322,1982-03-24,0.299107
323,1982-03-25,0.296875
324,1982-03-26,0.29241100000000003
325,1982-03-29,0.299107
326,1982-03-30,0.303571
327,1982-03-31,0.303571
328,1982-04-01,0.319196
329,1982-04-02,0.319196
330,1982-04-05,0.319196
331,1982-04-06,0.31696399999999997
332,1982-04-07,0.3125
333,1982-04-08,0.314732
334,1982-04-12,0.314732
335,1982-04-13,0.287946
336,1982-04-14,0.290179
337,1982-04-15,0.294643
338,1982-04-16,0.303571
339,1982-04-19,0.299107
340,1982-04-20,0.283482
341,1982-04-21,0.28125
342,1982-04-22,0.27678600000000003
343,1982-04-23,0.27678600000000003
344,1982-04-26,0.283482
345,1982-04-27,0.274554
346,1982-04-28,0.263393
347,1982-04-29,0.263393
348,1982-04-30,0.265625
349,1982-05-03,0.274554
350,1982-05-04,0.283482
351,1982-05-05,0.28125
352,1982-05-06,0.287946
353,1982-05-07,0.29241100000000003
354,1982-05-10,0.287946
355,1982-05-11,0.279018
356,1982-05-12,0.272321
357,1982-05-13,0.274554
358,1982-05-14,0.265625
359,1982-05-17,0.258929
360,1982-05-18,0.25446399999999997
361,1982-05-19,0.252232
362,1982-05-20,0.25446399999999997
363,1982-05-21,0.256696
364,1982-05-24,0.258929
365,1982-05-25,0.258929
366,1982-05-26,0.256696
367,1982-05-27,0.252232
368,1982-05-28,0.252232
369,1982-06-01,0.247768
370,1982-06-02,0.252232
371,1982-06-03,0.245536
372,1982-06-04,0.236607
373,1982-06-07,0.236607
374,1982-06-08,0.234375
375,1982-06-09,0.229911
376,1982-06-10,0.232143
377,1982-06-11,0.241071
378,1982-06-14,0.241071
379,1982-06-15,0.241071
380,1982-06-16,0.241071
381,1982-06-17,0.236607
382,1982-06-18,0.234375
383,1982-06-21,0.232143
384,1982-06-22,0.243304
385,1982-06-23,0.25
386,1982-06-24,0.247768
387,1982-06-25,0.238839
388,1982-06-28,0.236607
389,1982-06-29,0.229911
390,1982-06-30,0.229911
391,1982-07-01,0.227679
392,1982-07-02,0.216518
393,1982-07-06,0.207589
394,1982-07-07,0.207589
395,1982-07-08,0.19866099999999998
396,1982-07-09,0.205357
397,1982-07-12,0.209821
398,1982-07-13,0.223214
399,1982-07-14,0.227679
400,1982-07-15,0.229911
401,1982-07-16,0.238839
402,1982-07-19,0.241071
403,1982-07-20,0.256696
404,1982-07-21,0.256696
405,1982-07-22,0.258929
406,1982-07-23,0.25446399999999997
407,1982-07-26,0.243304
408,1982-07-27,0.243304
409,1982-07-28,0.232143
